name,first_name,last_name,height_raw,height_in,weight_lb,year_start,year_end,career_span_years,position,birth_date,college,draft_year,draft_round,draft_pick,source,source_url,coverage_note
Alex Acker,Alex,Acker,6-5,77,185,2006,2009,4,G,"January 21, 1983",Pepperdine University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Don Ackerman,Don,Ackerman,6-0,72,183,1954,1954,1,G,"September 4, 1930",Long Island University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Mark Acres,Mark,Acres,6-11,83,220,1988,1993,6,F-C,"November 15, 1962",Oral Roberts University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Bud Acton,Bud,Acton,6-6,78,210,1968,1968,1,F,"January 11, 1942",Hillsdale College,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Quincy Acy,Quincy,Acy,6-7,79,240,2013,2018,6,F,"October 6, 1990",Baylor University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Alvan Adams,Alvan,Adams,6-9,81,210,1976,1988,13,C-F,"July 19, 1954",University of Oklahoma,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Don Adams,Don,Adams,6-6,78,210,1971,1977,7,F,"November 27, 1947",Northwestern University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
George Adams,George,Adams,6-5,77,210,1973,1975,3,F-G,"May 15, 1949",Gardner-Webb University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Hassan Adams,Hassan,Adams,6-4,76,220,2007,2009,3,G,"June 20, 1984",University of Arizona,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Jordan Adams,Jordan,Adams,6-5,77,209,2015,2016,2,G,"July 8, 1994","University of California, Los Angeles",,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Michael Adams,Michael,Adams,5-10,70,162,1986,1996,11,G,"January 19, 1963",Boston College,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Steven Adams,Steven,Adams,7-0,84,255,2014,2018,5,C,"July 20, 1993",University of Pittsburgh,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Rafael Addison,Rafael,Addison,6-7,79,215,1987,1997,11,F-G,"July 22, 1964",Syracuse University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Bam Adebayo,Bam,Adebayo,6-10,82,243,2018,2018,1,C-F,"July 18, 1997",University of Kentucky,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Rick Adelman,Rick,Adelman,6-1,73,175,1969,1975,7,G,"June 16, 1946",Loyola Marymount University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Jeff Adrien,Jeff,Adrien,6-7,79,245,2011,2015,5,F,"February 10, 1986",University of Connecticut,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Arron Afflalo,Arron,Afflalo,6-5,77,210,2008,2018,11,G,"October 15, 1985","University of California, Los Angeles",,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Maurice Ager,Maurice,Ager,6-5,77,202,2007,2011,5,G,"February 9, 1984",Michigan State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Mark Aguirre,Mark,Aguirre,6-6,78,232,1982,1994,13,F-G,"December 10, 1959",DePaul University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Blake Ahearn,Blake,Ahearn,6-2,74,190,2008,2012,5,G,"May 27, 1984",Missouri State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Danny Ainge,Danny,Ainge,6-4,76,175,1982,1995,14,G,"March 17, 1959",Brigham Young University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Matthew Aitch,Matthew,Aitch,6-7,79,230,1968,1968,1,F,"September 21, 1944",Michigan State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Alexis Ajinca,Alexis,Ajinca,7-2,86,248,2009,2017,9,C,"May 6, 1988",,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Henry Akin,Henry,Akin,6-10,82,225,1967,1969,3,C-F,"July 31, 1944",Morehead State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Josh Akognon,Josh,Akognon,5-11,71,185,2013,2013,1,G,"February 10, 1986","California State University, Fullerton",,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Solomon Alabi,Solomon,Alabi,7-1,85,251,2011,2012,2,C,"March 21, 1988",Florida State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Mark Alarie,Mark,Alarie,6-8,80,217,1987,1991,5,F,"December 11, 1963",Duke University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Gary Alcorn,Gary,Alcorn,6-9,81,225,1960,1961,2,C,"October 8, 1936","California State University, Fresno",,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Furkan Aldemir,Furkan,Aldemir,6-10,82,240,2015,2015,1,F-C,"August 9, 1991",,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Cole Aldrich,Cole,Aldrich,6-11,83,250,2011,2018,8,C,"October 31, 1988",University of Kansas,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
LaMarcus Aldridge,LaMarcus,Aldridge,6-11,83,260,2007,2018,12,F-C,"July 19, 1985",University of Texas at Austin,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Chuck Aleksinas,Chuck,Aleksinas,6-11,83,260,1985,1985,1,C,"February 26, 1959",University of Connecticut,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Cliff Alexander,Cliff,Alexander,6-8,80,245,2016,2016,1,F,"November 16, 1995",University of Kansas,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Cory Alexander,Cory,Alexander,6-1,73,185,1996,2005,10,G,"June 22, 1973",University of Virginia,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Courtney Alexander,Courtney,Alexander,6-5,77,205,2001,2003,3,G,"April 27, 1977","California State University, Fresno",,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Gary Alexander,Gary,Alexander,6-7,79,240,1994,1994,1,F,"November 1, 1969",University of South Florida,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Joe Alexander,Joe,Alexander,6-8,80,230,2009,2010,2,F,"December 26, 1986",West Virginia University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Victor Alexander,Victor,Alexander,6-9,81,265,1992,2002,11,C-F,"August 31, 1969",Iowa State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Steve Alford,Steve,Alford,6-2,74,183,1988,1991,4,G,"November 23, 1964",Indiana University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Bill Allen,Bill,Allen,6-8,80,205,1968,1968,1,C-F,,New Mexico State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Bob Allen,Bob,Allen,6-9,81,205,1969,1969,1,F,"July 17, 1946",Marshall University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Jarrett Allen,Jarrett,Allen,6-10,82,234,2018,2018,1,F-C,"April 21, 1998",University of Texas at Austin,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Jerome Allen,Jerome,Allen,6-4,76,184,1996,1997,2,G,"January 28, 1973",University of Pennsylvania,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Kadeem Allen,Kadeem,Allen,6-3,75,192,2018,2018,1,G,"January 15, 1993",University of Arizona,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Lavoy Allen,Lavoy,Allen,6-9,81,260,2012,2017,6,F-C,"February 4, 1989",Temple University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Lucius Allen,Lucius,Allen,6-2,74,175,1970,1979,10,G,"September 26, 1947","University of California, Los Angeles",,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Malik Allen,Malik,Allen,6-10,82,255,2002,2011,10,F-C,"June 27, 1978",Villanova University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Randy Allen,Randy,Allen,6-8,80,220,1989,1990,2,F,"January 26, 1965",Florida State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Ray Allen,Ray,Allen,6-5,77,205,1997,2014,18,G,"July 20, 1975",University of Connecticut,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Tony Allen,Tony,Allen,6-4,76,213,2005,2018,14,G-F,"January 11, 1982",Oklahoma State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Willie Allen,Willie,Allen,6-6,78,230,1972,1972,1,F,"February 8, 1949",University of Miami,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Odis Allison,Odis,Allison,6-6,78,195,1972,1972,1,F,"October 2, 1949","University of Nevada, Las Vegas",,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Lance Allred,Lance,Allred,6-11,83,250,2008,2008,1,C,"February 2, 1981",Weber State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Darrell Allums,Darrell,Allums,6-9,81,220,1981,1981,1,F,"September 12, 1958","University of California, Los Angeles",,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Morris Almond,Morris,Almond,6-6,78,225,2008,2012,5,G,"February 2, 1985",Rice University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Derrick Alston,Derrick,Alston,6-11,83,225,1995,1997,3,F,"August 20, 1972",Duquesne University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Rafer Alston,Rafer,Alston,6-2,74,171,2000,2010,11,G,"July 24, 1976","California State University, Fresno",,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Peter Aluma,Peter,Aluma,6-10,82,260,1999,1999,1,C,"April 23, 1973",Liberty University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
John Amaechi,John,Amaechi,6-10,82,270,1996,2003,8,C-F,"November 26, 1970",Pennsylvania State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Ashraf Amaya,Ashraf,Amaya,6-8,80,230,1996,1997,2,F,"November 23, 1971",Southern Illinois University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Al-Farouq Aminu,Al-Farouq,Aminu,6-9,81,220,2011,2018,8,F,"September 21, 1990",Wake Forest University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Lou Amundson,Lou,Amundson,6-9,81,220,2007,2016,10,F,"December 7, 1982","University of Nevada, Las Vegas",,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Bob Anderegg,Bob,Anderegg,6-3,75,200,1960,1960,1,F-G,"August 24, 1937",Michigan State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Chris Andersen,Chris,Andersen,6-10,82,245,2002,2017,16,F-C,"July 7, 1978",Blinn College,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
David Andersen,David,Andersen,6-11,83,245,2010,2011,2,C,"June 23, 1980",,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Alan Anderson,Alan,Anderson,6-6,78,220,2006,2017,12,G-F,"October 16, 1982",Michigan State University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Andrew Anderson,Andrew,Anderson,6-2,74,184,1968,1970,3,G,"July 6, 1945",Canisius College,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Antonio Anderson,Antonio,Anderson,6-6,78,215,2010,2010,1,G,"June 5, 1985",University of Memphis,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Cliff Anderson,Cliff,Anderson,6-2,74,200,1968,1971,4,G-F,"September 7, 1944",Saint Joseph's University,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
Dan Anderson,Dan,Anderson,6-10,82,230,1968,1969,2,C,"February 15, 1943",Augsburg College,,,,player_data.csv (Basketball-Reference-derived teaching dump; mirrored via msyamkumar/cs220-projects),https://raw.githubusercontent.com/msyamkumar/cs220-projects/master/spring20/final/player_data.csv,Historical bio dump through year_start/year_end max 2018; NOT complete through 2026
