name,slug,hex,brand,line,source_url,upstream_note,access_date,notes
Pristine,pristine,#F2E8DA,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Almond Oil,almond-oil,#F4EFC1,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Pearled Ivory,pearled-ivory,#F0DFCC,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Putty,putty,#D4CAB0,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Spray Green,spray-green,#AEA692,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Tuffet,tuffet,#A59788,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Canteen,canteen,#5E5347,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Sheepskin,sheepskin,#DAB58F,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Incense,incense,#AF9A7E,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Desert Palm,desert-palm,#5A4632,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Rattan,rattan,#D1B272,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Cress Green,cress-green,#BCA949,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Golden Green,golden-green,#BDB369,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Canary Yellow,canary-yellow,#DFD87E,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Vibrant Yellow,vibrant-yellow,#FFDA29,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Honey,honey,#BA9238,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Tinsel,tinsel,#C3964D,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Apple Cinnamon,apple-cinnamon,#B0885A,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Spectra Yellow,spectra-yellow,#F7B718,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Golden Apricot,golden-apricot,#DDA758,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Inca Gold,inca-gold,#BB7A2C,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Warm Apricot,warm-apricot,#FFB865,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Forest Night,forest-night,#434237,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Leek Green,leek-green,#B7B17A,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Tapenade,tapenade,#805D24,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Elm,elm,#A39F86,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Nutria,nutria,#75663E,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Greige,greige,#928475,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Sundress,sundress,#EBCF89,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Lemon Icing,lemon-icing,#F6EBC8,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Rabbit,rabbit,#5F575C,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Super Pink,super-pink,#CE6BA4,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Fuchsia Red,fuchsia-red,#AB3475,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Pastel Lavender,pastel-lavender,#D8A1C4,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Cyclamen,cyclamen,#D687BA,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Mulberry,mulberry,#A76C97,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Iris Orchid,iris-orchid,#A767A2,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Meadow Mauve,meadow-mauve,#A9568C,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Rosebud,rosebud,#B65F9A,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Baton Rouge,baton-rouge,#973C6C,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Vivid Viola,vivid-viola,#993C7C,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Clover,clover,#8A3371,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Hyacinth Violet,hyacinth-violet,#8D4687,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Byzantium,byzantium,#853B7B,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Gloxinia,gloxinia,#622E5A,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Argyle Purple,argyle-purple,#895C79,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Potent Purple,potent-purple,#462639,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Valerian,valerian,#9F7A93,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Purple Gumdrop,purple-gumdrop,#7A596F,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Concord Grape,concord-grape,#7C5379,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Purple Passion,purple-passion,#683D62,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Deep Purple,deep-purple,#50314C,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Blackberry Wine,blackberry-wine,#4D3246,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Nirvana,nirvana,#A2919B,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Shark,shark,#6D636B,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
Fair Orchid,fair-orchid,#C0AAC0,Pantone,"Fashion, Home + Interiors (TCX/TPG) — Margaret2/pantone-colors mirror of pantone.com hexes",https://github.com/Margaret2/pantone-colors,README: hex numbers freely available on Pantone website; names copyright Pantone,2026-09-20,"Named FHI colours; seed uses full downloaded CSS list (cite dataset, not invent hex)"
