abbr,english_name,team_role,team_hex,team_hex_source_url,team_hex_confidence,paint_brand,paint_name,paint_hex,paint_source_url,distance_metric,distance,distance_euclidean_rgb,match_rank_within_brand,access_date,notes
BKN,Brooklyn Nets,accent,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
BKN,Brooklyn Nets,accent,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
BOS,Boston Celtics,primary,#008348,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Peatmoss,#008447,https://www.dulux.com.au/colour/peatmoss,CIE76_DeltaE_Lab,1.169,1.414,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
BOS,Boston Celtics,primary,#008348,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Medium Green,#3C824E,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,11.001,60.308,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
BOS,Boston Celtics,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
BOS,Boston Celtics,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
BOS,Boston Celtics,accent,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
BOS,Boston Celtics,accent,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHA,Charlotte Hornets,primary,#00788C,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Blue Arc,#008AA1,https://www.dulux.com.au/colour/blue-arc,CIE76_DeltaE_Lab,7.248,27.659,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHA,Charlotte Hornets,primary,#00788C,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,PANTONE 3145-C,#00778B,https://github.com/bconglet/Pantoner/blob/master/csv/pantone-coated.csv,CIE76_DeltaE_Lab,0.407,1.414,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHA,Charlotte Hornets,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHA,Charlotte Hornets,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHA,Charlotte Hornets,accent,#1D1160,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Parade,#503F72,https://www.dulux.com.au/colour/parade,CIE76_DeltaE_Lab,27.704,71.0,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHA,Charlotte Hornets,accent,#1D1160,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,PANTONE 287-C,#003087,https://github.com/bconglet/Pantoner/blob/master/csv/pantone-coated.csv,CIE76_DeltaE_Lab,15.243,57.645,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHI,Chicago Bulls,primary,#CE1141,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,High Street,#A4334E,https://www.dulux.com.au/colour/high-street,CIE76_DeltaE_Lab,25.935,55.579,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHI,Chicago Bulls,primary,#CE1141,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,PANTONE 1935-C,#C5003E,https://github.com/bconglet/Pantoner/blob/master/csv/pantone-coated.csv,CIE76_DeltaE_Lab,3.116,19.468,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHI,Chicago Bulls,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHI,Chicago Bulls,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHI,Chicago Bulls,accent,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Te Kuiti,#242322,https://www.dulux.com.au/colour/te-kuiti,CIE76_DeltaE_Lab,13.811,60.638,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CHI,Chicago Bulls,accent,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,PANTONE 532-C,#1C1F2A,https://github.com/bconglet/Pantoner/blob/master/csv/pantone-coated.csv,CIE76_DeltaE_Lab,14.38,59.237,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CLE,Cleveland Cavaliers,primary,#860038,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,High Street,#A4334E,https://www.dulux.com.au/colour/high-street,CIE76_DeltaE_Lab,12.351,63.127,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CLE,Cleveland Cavaliers,primary,#860038,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Cerise,#A41247,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,9.94,38.066,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CLE,Cleveland Cavaliers,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CLE,Cleveland Cavaliers,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CLE,Cleveland Cavaliers,accent,#BC945C,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Sconce,#AE905D,https://www.dulux.com.au/colour/sconce,CIE76_DeltaE_Lab,5.879,14.595,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
CLE,Cleveland Cavaliers,accent,#BC945C,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Apple Cinnamon,#B0885A,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,6.555,17.088,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DAL,Dallas Mavericks,primary,#0064B1,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Bio Blue,#45619D,https://www.dulux.com.au/colour/bio-blue,CIE76_DeltaE_Lab,12.091,71.903,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DAL,Dallas Mavericks,primary,#0064B1,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Victoria Blue,#08589D,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,6.359,24.658,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DAL,Dallas Mavericks,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DAL,Dallas Mavericks,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DAL,Dallas Mavericks,accent,#BBC4CA,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Starlight,#BCC1CC,https://www.dulux.com.au/colour/starlight,CIE76_DeltaE_Lab,3.158,3.742,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DAL,Dallas Mavericks,accent,#BBC4CA,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,PANTONE 5445-C,#B7C9D3,https://github.com/bconglet/Pantoner/blob/master/csv/pantone-coated.csv,CIE76_DeltaE_Lab,3.892,11.045,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DEN,Denver Nuggets,primary,#0E2240,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Indigo Sunset,#30304E,https://www.dulux.com.au/colour/indigo-sunset,CIE76_DeltaE_Lab,9.566,39.345,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DEN,Denver Nuggets,primary,#0E2240,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Estate Blue,#233658,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,9.473,37.643,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DEN,Denver Nuggets,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DEN,Denver Nuggets,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DEN,Denver Nuggets,accent,#FEC524,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Dancing Daisy,#EFC357,https://www.dulux.com.au/colour/dancing-daisy,CIE76_DeltaE_Lab,20.413,53.198,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DEN,Denver Nuggets,accent,#FEC524,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,PANTONE 7548-C,#FFC600,https://github.com/bconglet/Pantoner/blob/master/csv/pantone-coated.csv,CIE76_DeltaE_Lab,5.462,36.028,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DET,Detroit Pistons,primary,#1D428A,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Bio Blue,#45619D,https://www.dulux.com.au/colour/bio-blue,CIE76_DeltaE_Lab,15.951,54.056,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DET,Detroit Pistons,primary,#1D428A,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Royal Blue,#3D428B,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,6.678,32.016,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DET,Detroit Pistons,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DET,Detroit Pistons,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DET,Detroit Pistons,accent,#C8102E,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Full Of Life,#DE592F,https://www.dulux.com.au/colour/full-of-life,CIE76_DeltaE_Lab,24.411,76.25,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
DET,Detroit Pistons,accent,#C8102E,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Hibiscus,#DD3848,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,9.677,52.125,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
GSW,Golden State Warriors,primary,#1D428A,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Bio Blue,#45619D,https://www.dulux.com.au/colour/bio-blue,CIE76_DeltaE_Lab,15.951,54.056,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
GSW,Golden State Warriors,primary,#1D428A,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Royal Blue,#3D428B,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,6.678,32.016,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
GSW,Golden State Warriors,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
GSW,Golden State Warriors,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
GSW,Golden State Warriors,accent,#FDB927,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Dancing Daisy,#EFC357,https://www.dulux.com.au/colour/dancing-daisy,CIE76_DeltaE_Lab,19.202,50.99,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
GSW,Golden State Warriors,accent,#FDB927,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Spectra Yellow,#F7B718,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,3.072,16.279,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
HOU,Houston Rockets,primary,#CE0E2D,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Full Of Life,#DE592F,https://www.dulux.com.au/colour/full-of-life,CIE76_DeltaE_Lab,23.918,76.714,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
HOU,Houston Rockets,primary,#CE0E2D,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Fiery Red,#D01C1F,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,9.024,19.9,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
HOU,Houston Rockets,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
HOU,Houston Rockets,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
HOU,Houston Rockets,accent,#FFD520,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Kowloon,#E1D456,https://www.dulux.com.au/colour/kowloon,CIE76_DeltaE_Lab,23.213,61.782,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
HOU,Houston Rockets,accent,#FFD520,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Vibrant Yellow,#FFDA29,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,2.818,10.296,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
IND,Indiana Pacers,primary,#0C2340,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,Russell,#2F3049,https://www.dulux.com.au/colour/russell,CIE76_DeltaE_Lab,9.809,38.406,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
IND,Indiana Pacers,primary,#0C2340,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,PANTONE 539-C,#00263A,https://github.com/bconglet/Pantoner/blob/master/csv/pantone-coated.csv,CIE76_DeltaE_Lab,8.4,13.748,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
IND,Indiana Pacers,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Dulux,White Exchange Quarter,#EAE9E1,https://www.dulux.com.au/colour/white-exchange-quarter,CIE76_DeltaE_Lab,8.809,42.72,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
IND,Indiana Pacers,secondary,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,MEDIUM,Pantone,Marshmallow,#F0EEE4,https://github.com/Margaret2/pantone-colors,CIE76_DeltaE_Lab,7.925,35.256,1,2026-09-20,"Nearest neighbour in seed paint corpus (Dulux n=442, Pantone n=540). Expand corpus for tighter matches. Template white/black may be weakly meaningful."
