season_end_year,season_label,decade,metric,position,value_display,value_numeric,unit,source_url,as_of,confidence,notes
1988,1987-88,1980s,avg_height_league,,6'7.02'',79.02,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1989,1988-89,1980s,avg_height_league,,6'6.93'',78.93,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1990,1989-90,1990s,avg_height_league,,6'6.81'',78.81,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1991,1990-91,1990s,avg_height_league,,6'6.95'',78.95,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1992,1991-92,1990s,avg_height_league,,6'6.65'',78.65,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1993,1992-93,1990s,avg_height_league,,6'6.90'',78.9,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1994,1993-94,1990s,avg_height_league,,6'7.05'',79.05,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1995,1994-95,1990s,avg_height_league,,6'6.78'',78.78,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1996,1995-96,1990s,avg_height_league,,6'6.90'',78.9,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1997,1996-97,1990s,avg_height_league,,6'6.94'',78.94,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1998,1997-98,1990s,avg_height_league,,6'6.73'',78.73,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
1999,1998-99,1990s,avg_height_league,,6'6.85'',78.85,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2000,1999-00,2000s,avg_height_league,,6'6.93'',78.93,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2001,2000-01,2000s,avg_height_league,,6'6.90'',78.9,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2002,2001-02,2000s,avg_height_league,,6'6.93'',78.93,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2003,2002-03,2000s,avg_height_league,,6'7.17'',79.17,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2004,2003-04,2000s,avg_height_league,,6'7.20'',79.2,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2005,2004-05,2000s,avg_height_league,,6'7.13'',79.13,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2006,2005-06,2000s,avg_height_league,,6'7.05'',79.05,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2007,2006-07,2000s,avg_height_league,,6'6.94'',78.94,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2008,2007-08,2000s,avg_height_league,,6'6.99'',78.99,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2009,2008-09,2000s,avg_height_league,,6'7.12'',79.12,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2010,2009-10,2010s,avg_height_league,,6'6.98'',78.98,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2011,2010-11,2010s,avg_height_league,,6'7.12'',79.12,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2012,2011-12,2010s,avg_height_league,,6'6.94'',78.94,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2013,2012-13,2010s,avg_height_league,,6'6.86'',78.86,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2014,2013-14,2010s,avg_height_league,,6'6.84'',78.84,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2015,2014-15,2010s,avg_height_league,,6'6.72'',78.72,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2016,2015-16,2010s,avg_height_league,,6'6.73'',78.73,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2017,2016-17,2010s,avg_height_league,,6'6.84'',78.84,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2018,2017-18,2010s,avg_height_league,,6'6.55'',78.55,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2019,2018-19,2010s,avg_height_league,,6'6.58'',78.58,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2020,2019-20,2020s,avg_height_league,,6'6.45'',78.45,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
2021,2020-21,2020s,avg_height_league,,6'6.33'',78.33,inches,https://runrepeat.com/height-evolution-in-the-nba,2026-09-19,HIGH,Unweighted mean listed height of players with season record; RunRepeat table 'Average height in the NBA by season'
