event_id,team_slug,team_name,country,event_date,event_type,seller,buyer,buyer_structure,price_eur_reported,price_notes,source_url,source_title,confidence,notes
BES-assoc-control,besiktas,Beşiktaş Istanbul,TR,1933,association_control,,Beşiktaş Jimnastik Kulübü,association,,Not a sale — multi-sport club control,https://bjk.com.tr/sirketlerimiz/index/basketbol_as/,Beşiktaş JK — Basketbol A.Ş. şirketlerimiz (official club companies index),MEDIUM,Basketbol A.Ş. corporate wrapper reported under JK; still association/multi-sport control. Verify filings on refresh. Primary club companies page cited (Basketbol Yatırımları A.Ş. under JK). Share % vs JK still MEDIUM pending Turkish registry refresh.
CZ-1945-founding,crvena_zvezda,Crvena zvezda Meridianbet Belgrade,RS,1945-03-04,founding,,SD Crvena zvezda / KK Crvena zvezda founders,association,,,https://kkcrvenazvezda.rs/club,KK Crvena zvezda — O klubu (official; founded 4 Mar 1945),HIGH,Sports society founded 4 Mar 1945; basketball is a member club.
CZ-assoc-control,crvena_zvezda,Crvena zvezda Meridianbet Belgrade,RS,1945,association_control,,SD Crvena zvezda (sports society),association,,Not a sale — institutional multi-sport society,https://kkcrvenazvezda.rs/club,KK Crvena zvezda — O klubu (official),HIGH,Official club page: founded 4 Mar 1945 within Crvena zvezda sports society. Institutional/association model — not a private PE sale.
DUB-2023-founding,dubai,Dubai Basketball,AE,2023,founding,,Abdulla Saeed Juma Al Naboodah; Dejan Kamenjašević (co-founder),majority,,Greenfield private franchise — no sale price,https://dubaibasketball.com/about/,Dubai Basketball — About,HIGH,Privately owned entity led by Al Naboodah per club site.
DUB-2025-el-entry,dubai,Dubai Basketball,AE,2025-06,other,,Dubai Basketball (same owners) — EuroLeague 5-year license,majority,,GAP: EuroLeague license fee/terms not public as a club-sale price,https://dubaibasketball.com/basketball/euroleague-welcomes-dubai-basketball-for-2025-26-season-debut/,Dubai Basketball: EuroLeague welcomes club for 2025-26,HIGH,License through ~2030; ABA entry preceded EL. Ownership unchanged at entry.
OM-1936-founding,olimpia_milano,EA7 Emporio Armani Milan,IT,1936-01-09,founding,,Olimpia Milano / Borletti founding path,unknown,,,https://www.olimpiamilano.com/1936-1951-da-borletti-al-primo-scudetto-di-rubini/,1936-1951: da Borletti al primo scudetto di Rubini (Olimpia Milano official),HIGH,Club official: 9 Jan 1936 founding date (Dopolavoro Borletti activity from ~1931). Multiple 20th-century ownership eras before Armani 2008.
OM-2008-sale,olimpia_milano,EA7 Emporio Armani Milan,IT,2008-06-06,sale,Giorgio Corbelli (majority); AC Milan & Inter minority exits,Giorgio Armani / Simint (Armani-controlled) ~80%,majority,4090000,~€4.09M reported for ~80% package (Il Giorno contemporaneous). Confirm if package included other assets.,https://www.ilgiorno.it/milano/2008/06/06/95031-corbelli_cede_parte_olimpia.shtml,Il Giorno: Corbelli cede; Armani prende Olimpia (~€4M),HIGH,Armani group takes full control path; Livio Proli later president. Anchor modern private sale.
BAR-1926-founding,barcelona,FC Barcelona,ES,1926,founding,,FC Barcelona basketball section,association,,,https://www.fcbarcelona.com/en/basketball/history,Barça Basketball History — FC Barcelona Official (founded 24 Aug 1926),HIGH,Club official: basketball section founded 24 August 1926.
BAR-assoc-control,barcelona,FC Barcelona,ES,1926,association_control,,FC Barcelona (socis / member-owned club),association,,Not a sale — member association multi-sport club,https://www.fcbarcelona.com/en/basketball/history,Barça Basketball History — FC Barcelona Official,HIGH,"Basketball section of member-owned FC Barcelona — association control, not a private sale."
BAY-1946-founding,bayern,FC Bayern Munich,DE,1946,founding,,FC Bayern München basketball section (Franz Kronberger era),association,,,https://fcbayern.com/basketball/en/club/history/history-and-chronicle,FC Bayern Basketball History,HIGH,Basketball section founded 1946 within FC Bayern.
BAY-2014-gmbh,bayern,FC Bayern Munich,DE,2014-10-01,other,,FC Bayern München Basketball GmbH (e.V. sole shareholder),association,,Corporate form change — not a third-party sale,https://www.easycredit-bbl.de/de/n/news/2014/oktober/fc-bayern-basketball-in-gmbh-ueberfuehrt,easyCredit BBL: Bayern Basketball in GmbH überführt,HIGH,Pro basketball spun into GmbH; association retains 100%.
BAY-assoc-control,bayern,FC Bayern Munich,DE,1946,association_control,,FC Bayern München e.V.,association,,Not a sale,https://fcbayern.com/en/club/fcb-club/other-sports/basketball,FC Bayern — Basketball (club page),HIGH,Multi-sport association control of basketball GmbH.
FEN-1913-founding,fenerbahce,Fenerbahçe Beko Istanbul,TR,1913,founding,,Fenerbahçe Spor Kulübü basketball department,association,,,https://www.fenerbahce.org/haberler/basketbol-erkek/2022/10/erkek-basketboldan-sorumlu-yoneticimiz-sertac-komsuoglu-hayalimiz-fenerbahcemize-ve-turk-basketbol,Fenerbahçe SK official: men's basketball manager on club basketball history/museum,HIGH,Club release frames men's basketball under Fenerbahçe SK from 1913 continuity (museum narrative). Association/multi-sport department — not a private franchise sale.
FEN-assoc-control,fenerbahce,Fenerbahçe Beko Istanbul,TR,1913,association_control,,Fenerbahçe Spor Kulübü,association,,Not a sale — multi-sport club department,https://www.fenerbahce.org/club/achievements/basketball-men,Fenerbahçe Spor Kulübü — Men's basketball (official),HIGH,Basketball department under Fenerbahçe SK — association/multi-sport control.
HTA-1935-founding,hapoel_tel_aviv,Hapoel IBI Tel Aviv,IL,1935,founding,,Hapoel Tel Aviv basketball / workers' sports tradition,association,,,https://hapoelbc.com/en/history-2-en/,Hapoel IBI Tel Aviv BC — History (official),HIGH,Club official history: founded 1935 (first recorded game 26 Jan 1935). Later private management company + association minority (see current_ownership).
HTA-2023-majority,hapoel_tel_aviv,Hapoel IBI Tel Aviv,IL,2023-08-11,majority_stake,Prior structure / association approval path,Ofer Yannay (controlling ~51% path approved by association),majority,,GAP: cash consideration for Yannay controlling stake not publicly standardized in English biz press — leave blank,https://www.ynet.co.il/sport/israelibasketball/article/rjv0nifh2,Ynet: Association approves Yannay ownership of Hapoel TA,HIGH,Fan association approved transfer Aug 2023; Yannay becomes principal owner.
HTA-2025-group,hapoel_tel_aviv,Hapoel IBI Tel Aviv,IL,2025,minority_stake,,"Gili Raanan, Micky Malka, Alan Howard each 20% of Yannay Sport; Yannay 40%",group,,Official release discloses percentages only — no cash figures,https://hapoelbc.com/en/ownershipstructure/,Hapoel official: Strengthening the Partnership (ownership structure),HIGH,"Yannay Sport still 81% of Red Management Basket; Hapoel Ussishkin Association 19%. Restructuring within holding, not an external club sale."
MTA-1932-founding,maccabi_tel_aviv,Maccabi Playtika Tel Aviv,IL,1932,founding,,Maccabi Tel Aviv basketball department,association,,,https://maccabi.co.il/en/about-club/,Maccabi Tel Aviv — About Club,HIGH,Club site: basketball department established 1932.
MTA-private-era,maccabi_tel_aviv,Maccabi Playtika Tel Aviv,IL,2000,other,,Private shareholder company era (Mizrahi / Federman / Recanati pillars),group,,GAP: early-2000s privatization package cash terms not cleanly public as one EUR price,https://www.ynetnews.com/sport/article/hjwogtq7fe,Ynet: Recanati/Federman/Mizrahi private-ownership era context,MEDIUM,Approximate early-2000s private ownership transition; Shimon Mizrahi chairman since 1969. Exact incorporation date GAP.
MTA-2026-majority,maccabi_tel_aviv,Maccabi Playtika Tel Aviv,IL,2026-07,majority_stake,Federman family / Fedanco Sport,Recanati family (reported ~58% controlling after deal),majority,,Reported ~$50M USD for Federman/Fedanco stake (Ynet/Globes/Ctech). Leave EUR blank — do not invent FX. NOT a full-franchise cash-out price.,https://www.ynetnews.com/sport/article/hjwogtq7fe,Ynet: Recanati family takes control in $50 million deal,HIGH,Ends Federman era. Subsequent ROFR/arbitration press around further transfer — flag PENDING litigation risk; do not invent resolved percentages beyond reported close.
OLY-1931-founding,olympiacos,Olympiacos Piraeus,GR,1931,founding,,Olympiacos CFP basketball department,association,,,https://www.olympiacosbc.gr/en/club/history/history-of-a-legend.html,Olympiacos BC — History of a Legend (official),HIGH,Official club history: basketball department roots 1930s (commonly dated 1931; first established team late 1930s per club chronology). Professional KAE later under Angelopoulos control.
OLY-2009-sale,olympiacos,Olympiacos Piraeus,GR,2009-07,takeover,Prior structure (Kokkalis-era partnership path),Panagiotis & Giorgos Angelopoulos (full owners),majority,,GAP: 2009 full-ownership cash price not a widely published EUR market figure,https://www.olympiacosbc.gr/en/club/presidents.html,Olympiacos BC — Managers/Presidents,HIGH,Brothers involved since 2004; full owners from 2009. Private KAE under Olympiacos multi-sport brand.
PAN-1919-founding,panathinaikos,Panathinaikos AKTOR Athens,GR,1919,founding,,Panathinaikos A.O. basketball,association,,,https://www.paobc.gr/en/pavlos-giannakopoulos-1929-2018-o-patriarchis-tou-panathinaikou-ma,Panathinaikos BC official memorial (club continuity),HIGH,Club continuity under PAO multi-sport brand; basketball section historically dated 1919. Professional KAE later Giannakopoulos-controlled.
PAN-giannakopoulos-era,panathinaikos,Panathinaikos AKTOR Athens,GR,1987,takeover,,Pavlos Giannakopoulos (family control of basketball KAE begins),majority,,GAP: 1980s entry terms not published as modern EUR sale price,https://www.paobc.gr/en/pavlos-giannakopoulos-1929-2018-o-patriarchis-tou-panathinaikou-mas-tha-einai-gia-panta-anamesa-mas-2/,Panathinaikos BC: Pavlos Giannakopoulos tribute,MEDIUM,Pavlos led basketball from late 1980s; built European powerhouse. Exact equity date approximate — verify.
PAN-2012-succession,panathinaikos,Panathinaikos AKTOR Athens,GR,2012,other,Pavlos / Thanasis Giannakopoulos era,Dimitris Giannakopoulos (controlling succession),majority,,Family succession — not an arm's-length market sale,https://www.paobc.gr/en/pavlos-giannakopoulos-1929-2018-o-patriarchis-tou-panathinaikou-ma,Pavlos Giannakopoulos memorial — Panathinaikos BC official,MEDIUM,Family succession after Pavlos era; Dimitris primary control ~2012. Club memorial anchors family ownership continuity. Exact equity instrument still GAP; 2020 press ~89.9% of PAO OPAP vehicle — verify on refresh.
PAR-2018-founding,paris,Paris Basketball,FR,2018-07-12,founding,Hyères-Toulon Var Basket (Pro B licence seller path),David Kahn & Eric Schwartz (Paris Basketball Investments),group,,GAP: HTV licence acquisition cash not disclosed as public EUR figure,https://parisbasketball.com/en/2026/07/paris-basketball-is-celebrating-its-8th-anniversary/,Paris Basketball: 8th anniversary (founders Kahn & Schwartz),HIGH,"Founded 12 Jul 2018; Schwartz majority owner, Kahn president/co-owner per club communications."
PAR-2025-minority,paris,Paris Basketball,FR,2025-06,minority_stake,,Omar Sy (co-owner),group,,Stake % and cash not disclosed in club release,https://parisbasketball.com/en/2025/06/omar-sy-becomes-co-owner-of-paris-basketball/,Paris Basketball official: Omar Sy becomes co-owner,HIGH,Co-owner alongside Schwartz & Kahn; Cultural Advisor role. Not a control change.
PAR2-1945-founding,partizan,Partizan Mozzart Bet Belgrade,RS,1945,founding,,JSD Partizan / KK Partizan founders,association,,,https://partizanjsd.rs/klubovi/kosarkaski-klub-partizan/,Košarkaški klub Partizan — JSD Partizan (founded 1945),HIGH,Basketball within Partizan multi-sport society (1945).
PAR2-assoc-control,partizan,Partizan Mozzart Bet Belgrade,RS,1945,association_control,,JSD Partizan (sports society),association,,Not a sale — institutional multi-sport society,https://partizanjsd.rs/klubovi/kosarkaski-klub-partizan/,Košarkaški klub Partizan — JSD Partizan official,HIGH,JSD Partizan lists KK Partizan among member clubs; founded 1945 within sports society. Institutional/association model — not a private PE franchise sale.
RM-1931-founding,real_madrid,Real Madrid,ES,1931,founding,,Real Madrid CF basketball section,association,,,https://www.realmadrid.com/en-US/the-club/history/basketball/first-team/chronology,Real Madrid CF official — Basketball History chronology,HIGH,Basketball section founded 1931 under member-owned Real Madrid CF.
RM-assoc-control,real_madrid,Real Madrid,ES,1931,association_control,,Real Madrid Club de Fútbol (socios),association,,Not a sale — member association multi-sport club,https://www.realmadrid.com/en-US/the-club/history/basketball/first-team/chronology,Real Madrid CF official — Basketball History chronology,HIGH,"Basketball section of member-owned Real Madrid CF — association control, not a private sale."
VAL-1986-founding,valencia,Valencia Basket,ES,1986,founding,,Valencia Basket Club founders,unknown,,,https://www.valenciabasket.com/valencia-basket-cumple-30-anos,Valencia Basket cumple 30 años (club official),HIGH,Club founded 1986; Roig brothers involved from founding era (see VAL-roig-control). Later SAD under Forvasa/Roig.
VAL-roig-control,valencia,Valencia Basket,ES,1986,majority_stake,,Juan Roig (with Fernando Roig) / Valencia Basket patronage → Forvasa path,majority,,GAP: original Roig accumulation cash not pinned to one public EUR sale date — leave blank. 2026 ACB owners cite Forvasa ~71.61%.,https://as.com/baloncesto/2017/06/17/acb/1497650681_099605.html,Juan Roig: Se enamoró en Los Ángeles y compró el Valencia (AS),HIGH,AS: Roig bought Valencia Basket ~1986 (two years after 1984 LA Olympics inspiration). Long-running private control; Forvasa ~71.61% cited in 2026 ACB owners roundup. Prior ~2000 placeholder date corrected.
VB-1927-founding,virtus,Virtus Segafredo Bologna,IT,1927,founding,,Virtus Bologna founders,unknown,,,https://www.virtus.it/en/club/our-history/,Virtus Bologna — Our history (official),HIGH,Club official history traces origin to 1927 (centenary narrative). Many ownership eras before Zanetti.
VB-2016-sponsor-entry,virtus,Virtus Segafredo Bologna,IT,2016,other,,Massimo Zanetti / Segafredo (title sponsor + capital path begins),unknown,,Sponsor entry — not yet full equity control,https://www.comunicaffe.it/segafredo-zanetti-main-title-sponsor-virtus-pallacanestro-bologna-a2/,Comunicaffè: Segafredo Zanetti title sponsor Virtus (2016),HIGH,Segafredo becomes main title sponsor while club in A2; Zanetti capital involvement begins.
VB-2017-majority,virtus,Virtus Segafredo Bologna,IT,2017-01,majority_stake,,Massimo Zanetti (~40%+ via capital increase; first shareholder),majority,,Capital-increase subscription — contemporaneous Corriere di Bologna; absolute EUR cash for % not always disclosed as market sale,https://corrieredibologna.corriere.it/bologna/notizie/basket_city/2017/21-gennaio-2017/zanetti-conquista-virtus-primo-socio-il-40percento-2401223782379.shtml,Corriere di Bologna: Zanetti conquista Virtus (~40%),HIGH,Zanetti becomes leading shareholder via capital increase.
VB-2021-sole,virtus,Virtus Segafredo Bologna,IT,2021-10,majority_stake,,Massimo Zanetti (sole/near-sole shareholder path via €2M capital increase),sole,,"€2M capital increase reported (BasketNews) — capital raise, not secondary market purchase of third-party stake",https://basketnews.com/es/news-158728-virtus-bologna-launched-a-capital-increase-of-2-million-euros.html,BasketNews: Virtus €2M capital increase,MEDIUM,Zanetti consolidates toward sole ownership; small foundation residual later.
VB-2023-minority,virtus,Virtus Segafredo Bologna,IT,2023,minority_stake,,Carlo Gherardi / Cribis (~40% path; later ~45–49%),group,,Entry via debt conversion / temporary stabilization — exact entry cash GAP,https://basketnews.com/news-226166-second-largest-virtus-bologna-shareholder-exits-after-two-years.html,BasketNews: Gherardi was second-largest shareholder,MEDIUM,Gherardi enters as minority stabilizer 2023; converts further Apr 2025 (~49%).
VB-2025-sale,virtus,Virtus Segafredo Bologna,IT,2025-06-13,sale,Carlo Gherardi / Cribis,Massimo Zanetti (buyback to near-full control),majority,5800000,~€5.8M reported (Quotidiano Sportivo / Italian press) for Gherardi package,https://sport.quotidiano.net/en/basket/virtus/massimo-zanetti-acquisisce-il-controllo-8cb8a96c,Quotidiano Sportivo: Zanetti acquires full control (~€5.8M),HIGH,Buyback restores Zanetti as essentially sole owner aside from supporters' foundation. Zanetti later says open to serious offers — none closed as of 2026-09-19.
ZAL-1944-founding,zalgiris,Žalgiris Kaunas,LT,1944,founding,,BC Žalgiris founders,unknown,,,https://zalgiris.lt/en/komandos-istorija,Žalgiris — Team history (official),HIGH,"Club official team history: established 1944. Multiple ownership eras (Sabonis, Romanov/Ūkio, Motiejūnas)."
ZAL-2009-romanov,zalgiris,Žalgiris Kaunas,LT,2009,takeover,,Vladimir Romanov / Ūkio Bankas orbit (~75%),majority,,BasketNews: shares transferred for symbolic/debt assumption (~>€7.5M debts commitment) — not a clean market sale price,https://basketnews.com/news-171244-how-much-does-it-cost-to-buy-a-stake-in-euroleague-club-zalgiris-case.html,BasketNews: Žalgiris ownership history (Romanov era),MEDIUM,Romanov takes large stake amid debt crisis; bank collapse 2013 ends era.
ZAL-2013-motiejunas,zalgiris,Žalgiris Kaunas,LT,2013,takeover,Romanov associates (post-Ūkio collapse),Paulius Motiejūnas (consolidation path to control),majority,,GAP: Motiejūnas consolidation cash not disclosed as public EUR market price; crisis rescue context,https://basketnews.com/news-171244-how-much-does-it-cost-to-buy-a-stake-in-euroleague-club-zalgiris-case.html,BasketNews: Motiejūnas post-2013 consolidation,MEDIUM,Motiejūnas emerges as controlling shareholder after Romanov flight/collapse.
ZAL-2022-minority,zalgiris,Žalgiris Kaunas,LT,2022-04,minority_stake,Paulius Motiejūnas (partial),Tesonet (25% of Žalgiris Group),group,,Official terms confidential. BasketNews estimates ~€3.5M package / ~€20M club valuation — ESTIMATE only; leave EUR blank,https://www.eurohoops.net/en/euroleague/1336469/tesonet-becomes-shareholder-of-zalgiris-sabonis-to-take-on-honorary-president-role/,Eurohoops: Tesonet becomes Žalgiris shareholder (2022),HIGH,First major tech co-owner. Sabonis to honorary president role per announcement.
ZAL-2026-majority,zalgiris,Žalgiris Kaunas,LT,2026-05,majority_stake,Tesonet (partial via contractual option),Paulius Motiejūnas (55%); Tesonet remains 45%,majority,,Contractual buyback option after Motiejūnas left EuroLeague CEO role — cash not publicly disclosed,https://www.eurohoops.net/en/euroleague/1964367/motiejunas-regains-majority-stake-in-zalgiris/,Eurohoops: Motiejūnas regains majority stake,HIGH,55/45 split Motiejūnas/Tesonet as of May 2026.
