event_id,team_abbr,team_name,event_date,event_type,seller,buyer,buyer_structure,price_usd_reported,price_notes,source_url,source_title,confidence,notes
BKN-2010-majority,BKN,Brooklyn Nets,2010-05-11,majority_stake,Bruce Ratner / Forest City interests,Mikhail Prokhorov,majority,200000000,Often cited ~$200M for controlling stake (partial); enterprise package values vary,https://pr.nba.com/nba-board-of-governors-approves-sale-of-nj-nets-to-mikhail-prokorov/,NBA Board of Governors approves sale of Nets to Mikhail Prokhorov (NBA Communications),HIGH,Prokhorov ~80% controlling stake; Ratner retained minority during Brooklyn arena path. Often cited ~$200M for controlling stake (enterprise package values vary).
BKN-2012-relocation,BKN,Brooklyn Nets,2012-07,relocation,,Mikhail Prokhorov / Ratner group (operators),majority,,,https://www.nba.com/nets/,Brooklyn Nets franchise site,HIGH,New Jersey Nets → Brooklyn Nets (Barclays Center). Ownership continuous under Prokhorov era.
BKN-2019-sale,BKN,Brooklyn Nets,2019-09-18,sale,Mikhail Prokhorov,Joe Tsai (and Clara Wu Tsai),sole,2350000000,Often cited ~$2.35B path for full ownership; earlier ~49% stake then remaining 51%+Barclays interests; some packages cited nearer $3.4B including arena ops,https://www.nba.com/nets/news/joe-tsai-completes-acquisition-full-ownership-brooklyn-nets-and-barclays-center,Joe Tsai Completes Acquisition of Full Ownership of Brooklyn Nets and Barclays Center,HIGH,Tsai completed full ownership 2019. Koch family later bought ~15% of BSE Global (2024) at ~$6B enterprise valuation — minority_stake separate.
BKN-2024-minority,BKN,Brooklyn Nets,2024-06-20,minority_stake,Joe/Clara Tsai interests (BSE Global),Koch family (Julia Koch et al.),group,688000000,$688M cash for 15% of BSE Global (Nets/Liberty/Barclays); EV $6B incl. $1.43B net debt; equity ~$4.6B (Sportico from NBA owner memo),https://www.sportico.com/business/team-sales/2024/koch-nets-stake-sale-debt-valuation-1234784985/,"Kochs Paying $688M for Nets Stake (Sportico, Jun 20 2024)",HIGH,Julia Koch and family; Tsai retained control. NBA approved shortly after.
BOS-1946-expansion,BOS,Boston Celtics,1946,expansion,BAA / NBA predecessor,Walter A. Brown / Boston Garden-Arena Corp.,sole,10000,"Each BAA charter franchise paid $10,000 league franchise fee for operating expenses (American Heritage 1997 retrospective on 1946 BAA founding). Not a secondary-market sale.",https://www.americanheritage.com/first-serious-basketball-league,"The First Serious Basketball League (American Heritage, May/Jun 1997)",MEDIUM,Original BAA charter franchise; Brown founding owner/operator.
BOS-1978-other,BOS,Boston Celtics,1978-07,other,Irv Levin & Harold Lipton,John Y. Brown Jr. & Harry Mangurian Jr.,group,,Franchise swap with Buffalo Braves — not a cash market sale; GAP on cash equalizers,https://www.nytimes.com/1978/06/30/archives/celtics-and-braves-agree-on-switch-buffalo-move-to-san-diego-set.html,Celtics and Braves Agree on Switch (NYT archives),HIGH,Owners swapped franchises: Levin took Braves (→San Diego Clippers); Brown/Mangurian took Celtics. Famous oddball ownership event.
BOS-1983-sale,BOS,Boston Celtics,1983-09-23,sale,Harry Mangurian Jr.,"Don Gaston, Alan Cohen & Paul Dupee Jr.",group,15000000,Contemporaneous reports commonly ~$15M (range cited $13–19M); use $15M as modal figure,https://www.upi.com/Archives/1983/09/23/The-sale-of-the-Boston-Celtics-was-unanimously-approved/9626433137600/,The sale of the Boston Celtics was unanimously approved (UPI Archives),MEDIUM,NBA BOG approved Sept 1983. Paul Gaston later consolidated control before 2002 Grousbeck sale.
BOS-2002-sale,BOS,Boston Celtics,2002,sale,Paul Gaston,"Boston Basketball Partners (Wyc Grousbeck, Steve Pagliuca et al.)",group,360000000,$360M reported sale price,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Grousbeck group held control until 2025 majority sale.
BOS-2025-majority,BOS,Boston Celtics,2025-08-19,majority_stake,Boston Basketball Partners / Grousbeck family interests,Bill Chisholm-led group (Symphony Technology Group),majority,6100000000,Initial majority control ~$6.1B; full control scheduled by 2028; some reports cite up to ~$7.3B path,https://www.nba.com/celtics/news/chisholm-group-takes-control-of-the-boston-celtics,Chisholm Group Takes Control of the Boston Celtics,HIGH,Chisholm majority (~51%); Grousbeck retained minority and management role. Access 2026-09-19: Chisholm is controlling owner.
CHA-1988-expansion,CHA,Charlotte Hornets,1988,expansion,NBA,George Shinn-led group,group,32500000,Expansion fee ~$32.5M,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Original Charlotte Hornets began 1988–89.
CHA-2002-relocation,CHA,Charlotte Hornets,2002,relocation,George Shinn,George Shinn (same owner moved ops),sole,,,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Franchise relocated to New Orleans (became NO Hornets/Pelicans). Charlotte history later reassigned to current CHA franchise (2014).
CHA-2004-expansion,CHA,Charlotte Bobcats,2004,expansion,NBA,Robert L. Johnson,sole,300000000,Expansion fee ~$300M for Bobcats,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Charlotte returned via Bobcats expansion 2004–05.
CHA-2010-majority,CHA,Charlotte Bobcats,2010,majority_stake,Robert L. Johnson,Michael Jordan,majority,275000000,Jordan paid ~$275M for majority stake (widely reported),https://www.espn.com/nba/story/_/id/37863644/sources-michael-jordan-finalizing-charlotte-hornets-sale,Sources: Michael Jordan agrees to sell Hornets stake for $3B (ESPN; cites 2010 purchase),HIGH,Jordan became majority owner; team later rebranded Hornets.
CHA-2014-rebrand,CHA,Charlotte Hornets,2014,rebrand,,Michael Jordan (owner of record),majority,,,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Bobcats → Hornets; Charlotte 1988–2002 history reassigned to CHA; NOP history starts 2002–03.
CHA-2023-majority,CHA,Charlotte Hornets,2023-08-03,majority_stake,Michael Jordan,Gabe Plotkin & Rick Schnall-led group,group,3000000000,Approx. $3B franchise valuation for majority-stake sale,https://www.nba.com/hornets/news/group-led-by-gabe-plotkin-and-rick-schnall-finalizes-purchase-of-majority-stake-in-charlotte-hornets-from-michael-jordan,Group Led By Gabe Plotkin and Rick Schnall Finalizes Purchase Of Majority Stake In Charlotte Hornets From Michael Jordan,HIGH,Jordan retained minority stake. Plotkin/Schnall rotate governorship.
CHI-1966-expansion,CHI,Chicago Bulls,1966,expansion,NBA,Dick Klein-led group,group,1200000,Expansion fee ~$1.2M (LAT 1988 retrospective); Bulls official history sometimes cites ~$1.6M — variance noted,https://www.latimes.com/archives/la-xpm-1988-11-08-ss-374-story.html,"NBA: Price of a Starting NBA Franchise Is Up to $32.5 Million (LA Times, Nov 8 1988)",MEDIUM,Dick Klein-led expansion franchise awarded Jan 1966; fee from LAT expansion-fee ladder.
CHI-1972-sale,CHI,Chicago Bulls,1972-08-10,sale,Dick Klein-era ownership group,"Lester Crown / Arthur Wirtz-led Chicago investor group (w/ Klutznick, Kovler, Steinbrenner; Hunt retained)",group,5100000,~$5.1M sale approved by NBA Aug 10 1972 (NYT); Bulls history also cites ~$5M including debt,https://www.nytimes.com/1972/08/11/archives/nba-approves-sale-of-bulls.html,"N.B.A. Approves Sale of Bulls (NYT, Aug 11 1972)",HIGH,Fills Klein (1966)→Reinsdorf (1985) gap. Wirtz (Stadium/Blackhawks) + Crown; Kovler later managing partner.
CHI-1985-sale,CHI,Chicago Bulls,1985-03,sale,Arthur Wirtz estate / Philip Klutznick / Walter Shorenstein / George Steinbrenner et al. (Crown–Kovler–Hunt retain minority),Jerry Reinsdorf-led group,majority,9200000,"~$9.2M cash for ~56.8% controlling interest (Tribune/NYT Feb 1985); implied full-franchise ~$16M. Crown, Kovler, Hunt remained minority partners at close.",https://www.nytimes.com/1985/02/09/sports/sports-people-basketball-buyout-a-group-of-investors-headed-by.html,"SPORTS PEOPLE; Basketball Buyout (NYT, Feb 9 1985) — Reinsdorf majority $9.2M",HIGH,Reinsdorf remains controlling owner as of 2026-09-19. Predecessors: Klein founding (1966); Crown/Wirtz group purchase (1972).
CLE-1970-expansion,CLE,Cleveland Cavaliers,1970,expansion,NBA,Nick Mileti-led group,group,3700000,Expansion fee ~$3.7M (LAT 1988 retrospective on 1970 class),https://www.latimes.com/archives/la-xpm-1988-11-08-ss-374-story.html,NBA: Price of a Starting NBA Franchise Is Up to $32.5 Million (LA Times),HIGH,Cleveland Cavaliers expansion with Portland and Buffalo (1970–71).
CLE-1980-majority,CLE,Cleveland Cavaliers,1980,majority_stake,Prior Cavaliers ownership interests,Ted Stepien,majority,2300000,~$2.3M for ~37% stake from Joe Zingale path (Apr 1980); staged to majority — full-control cash total unclear (some sources say ~$2M for that tranche),https://www.nytimes.com/2007/09/15/sports/basketball/15stepien.html,"Ted Stepien, N.B.A. Owner, Is Dead at 82 (NYT)",MEDIUM,Stepien control era (infamous draft-pick trades); sold to Gunds 1983 (~$20M). Mileti→Mitchell→Zingale→Stepien chain compressed here.
CLE-1983-sale,CLE,Cleveland Cavaliers,1983-05-09,sale,Ted Stepien,Gordon & George Gund,group,20000000,~$20M reported for Stepien majority + related businesses; package composition varies by outlet,https://www.upi.com/Archives/1983/05/09/George-and-Gordon-Gund-announced-formal-purchase-of-the/5268032100040/,George and Gordon Gund announced formal purchase (UPI Archives),HIGH,NBA approved sale May 1983. Gunds owned until Gilbert 2005.
CLE-2005-sale,CLE,Cleveland Cavaliers,2005,sale,Gordon Gund et al.,Dan Gilbert,sole,375000000,Approx. $375M reported,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Gilbert remains controlling owner as of 2026-09-19.
DAL-1980-expansion,DAL,Dallas Mavericks,1980,expansion,NBA,Donald Carter-led group,group,12000000,Expansion fee $12M (Dallas Morning News flashback; LAT/Sonju confirm vs later $32.5M class),https://www.dallasnews.com/sports/mavericks/2016/08/28/flashback-how-the-dallas-mavericks-begged-bartered-and-kicked-the-door-down-to-gain-entrance-into-the-nba/,Flashback: How the Dallas Mavericks gained entrance into the NBA (Dallas Morning News),HIGH,Mavericks expansion 1980–81 under Donald Carter-led group.
DAL-1996-majority,DAL,Dallas Mavericks,1996-05-01,majority_stake,Donald Carter,Ross Perot Jr. & David McDavid-led group,majority,125000000,Often cited ~$125M for ~67% controlling stake,https://www.upi.com/Archives/1996/05/01/Carter-sells-Mavericks-to-Perot/5998830923200/,Carter sells Mavericks to Perot (UPI Archives),HIGH,Perot controlled until Cuban purchase 2000; Carter retained minority initially.
DAL-2000-sale,DAL,Dallas Mavericks,2000,sale,Ross Perot Jr. interests / prior ownership,Mark Cuban,sole,285000000,Widely reported ~$285M,https://www.reviewjournal.com/sports/basketball/nba-approves-dallas-mavericks-sale-to-adelsons-2971928/,Dallas Mavericks sale to Adelson family approved (Review-Journal; cites Cuban 2000 purchase),HIGH,Cuban controlled until 2023 majority sale.
DAL-2023-majority,DAL,Dallas Mavericks,2023-12-27,majority_stake,Mark Cuban,Miriam Adelson / Patrick Dumont family group,majority,3500000000,"~ $3.5B franchise valuation; Adelson/Dumont ~69%, Cuban retained ~27%",https://www.nba.com/mavs/saleofmavsapproved,NBA Board of Governors approve sale of Mavericks,HIGH,Patrick Dumont became governor; Cuban retained minority + basketball ops role initially.
DEN-1967-other,DEN,Denver Rockets,1967-06-14,other,James B. Trindle / Kansas City→Denver Larks ABA franchise,J. William Ringsby & Donald Ringsby (Rocket Truck Lines),majority,,GAP: full-franchise headline blank. Remember the ABA: Ringsbys each paid ~$170k (+ share of $100k performance bond) for two-thirds; team renamed Rockets after Ringsby Rocket Truck Lines. Do not invent full market sale price.,https://www.remembertheaba.com/TeamMaterial/DenverMaterial/RocketsNuggetsYearly.html,Remember the ABA: Denver Rockets/Nuggets Year-by-Year Notes (14 Jun 1967 Ringsby purchase),HIGH,Corrected from prior Wikipedia lead that named J.W. Brown. ABA origin: KC award → Denver Larks → Ringsby rescue/rename to Rockets before first tip. Became Nuggets before NBA entry 1976.
DEN-1976-other,DEN,Denver Nuggets,1976-06-17,other,ABA,Existing ABA ownership (NBA entry),unknown,3200000,ABA–NBA merger entry charge ~$3.2M + pick forfeiture (not a sale),https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Nuggets entered NBA from ABA.
DEN-1989-sale,DEN,Denver Nuggets,1989-10-21,sale,Sidney Shlenker-era ownership,Comsat Video Enterprises with Bertram Lee & Peter Bynoe,group,54000000,"~$54M total (UPI/WaPo Oct 1989); Comsat ~$17M for 62.5%, Lee/Bynoe ~$8M for 37.5%, remainder financed. Later Ascent/full Comsat path to Kroenke 2000.",https://www.washingtonpost.com/archive/politics/1989/10/22/comsat-2-businessmen-to-buy-denver-nuggets/2d4a843d-ae2d-4c40-88d2-6bd2af4f5826/,"COMSAT, 2 BUSINESSMEN TO BUY DENVER NUGGETS (Washington Post)",HIGH,Bridge between ABA-era owners and Ascent→Kroenke (2000). Comsat later organized sports assets under Ascent Entertainment.
DEN-2000-sale,DEN,Denver Nuggets,2000-04-25,sale,Ascent Entertainment,Kroenke Sports & Entertainment (Stan Kroenke),sole,450000000,~ $450M package often cited for Nuggets + Avalanche + Pepsi Center interests — team-only price GAP,https://www.latimes.com/archives/la-xpm-2000-apr-25-sp-23247-story.html,Wal-Mart Heir Buys Nuggets and Avalanche for $450 Million (LA Times),HIGH,Kroenke ~$450M package for Nuggets + Avalanche + Pepsi Center interests (team-only GAP). NBA owner of record later Ann Walton Kroenke; KSE control continuous.
DET-1941-other,DET,Fort Wayne Zollner Pistons,1941,other,,Fred Zollner,sole,,Industrial-league→NBL founding — not a secondary-market purchase,https://www.hoophall.com/hall-of-famers/fred-zollner,Fred Zollner | Naismith Basketball Hall of Fame,HIGH,Zollner founded Fort Wayne Zollner Pistons (NBL 1941); later BAA/NBA; relocated to Detroit 1957.
DET-1957-relocation,DET,Detroit Pistons,1957,relocation,,Fred Zollner (owner),sole,,,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Fort Wayne → Detroit.
DET-1974-sale,DET,Detroit Pistons,1974-07-29,sale,Fred Zollner,William Davidson-led group,majority,8100000,$8.1M reported (NYT contemporaneous),https://www.nytimes.com/1974/07/30/archives/pistons-are-sold-for-81million2-pistons-sold-to-detroit-group-by.html,Pistons Are Sold for $8.1-Million (NYT archives),HIGH,Davidson family control until Gores 2011; Bill Davidson majority owner decades.
DET-2011-sale,DET,Detroit Pistons,2011,sale,Karen Davidson / Palace Sports & Entertainment,Tom Gores / Platinum Equity,sole,325000000,Approx. $325M for Pistons + Palace Sports assets,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Gores remains controlling owner as of 2026-09-19.
GSW-1946-expansion,GSW,Philadelphia Warriors,1946,expansion,BAA,Eddie Gottlieb / Philadelphia Arena interests,sole,10000,"Each BAA charter franchise paid $10,000 league franchise fee for operating expenses (American Heritage 1997 retrospective on 1946 BAA founding). Not a secondary-market sale.",https://www.americanheritage.com/first-serious-basketball-league,"The First Serious Basketball League (American Heritage, May/Jun 1997)",MEDIUM,Original BAA charter franchise; Gottlieb founding owner.
GSW-1962-relocation,GSW,Golden State Warriors,1962,relocation,,Franklin Mieuli-led Bay Area group (operators),group,,,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Philadelphia Warriors → San Francisco; later Golden State (1971).
GSW-1962-sale,GSW,San Francisco Warriors,1962,sale,Eddie Gottlieb,Franklin Mieuli-led Bay Area investor group (Diners Club-backed),group,850000,Often cited ~$850K purchase + relocation to San Francisco,https://www.sfgate.com/sports/article/A-tip-of-the-cap-There-s-still-more-to-Mieuli-2685584.php,A tip of the cap / There's still more to Mieuli (SFGate),HIGH,Pairs with GSW-1962-relocation. Diners Club-backed Bay Area group (~40 investors) bought from Gottlieb ~$850K and moved club west; Mieuli later bought out partners to sole control. SFGate feature corroborates Wikipedia lead.
GSW-1971-rebrand,GSW,Golden State Warriors,1971,rebrand,,Franklin Mieuli (owner of record),majority,,,https://en.wikipedia.org/wiki/Golden_State_Warriors,Golden State Warriors (name change to Golden State 1971),HIGH,San Francisco Warriors → Golden State Warriors (Oakland era branding).
GSW-1986-sale,GSW,Golden State Warriors,1986-05-23,sale,Franklin Mieuli,Jim Fitzgerald & Dan Finnane,group,14000000,Often cited ~$14M era figure (loan/net structures vary by outlet),https://www.mercurynews.com/2020/05/23/on-this-date-1986-a-new-day-for-warriors-owners-head-coach/,On this date 1986: a new day for Warriors owners (Mercury News),MEDIUM,Fitzgerald majority era through mid-1990s (Run TMC).
GSW-1991-minority,GSW,Golden State Warriors,1991-12-26,minority_stake,Jim Fitzgerald / Dan Finnane interests,Chris Cohan,unknown,20925000,"Agreed to buy 25% share for $20,925,000 (SFGate Cohan-era timeline)",https://www.sfgate.com/sports/article/The-Warriors-Cohan-era-2874220.php,The Warriors' Cohan era (SFGate),HIGH,Staged path to sole control completed Oct 1994 (~$110M for remaining 75%; see GSW-1995-sale).
GSW-1995-sale,GSW,Golden State Warriors,1994-10-08,sale,Jim Fitzgerald / Dan Finnane interests,Chris Cohan,sole,110000000,~$110M for remaining ~75% (SFGate Cohan-era timeline; settlement Oct 8 1994). Prior 25% Dec 1991 ~$20.925M → total outlay ~$130.9M.,https://www.sfgate.com/sports/article/The-Warriors-Cohan-era-2874220.php,The Warriors' Cohan era (SFGate),HIGH,Completes Cohan sole control after 1991 minority (GSW-1991-minority). Some later writeups say Jan 1995 formalization.
GSW-2010-sale,GSW,Golden State Warriors,2010,sale,Chris Cohan,Joe Lacob & Peter Guber-led group,group,450000000,$450M reported,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Lacob controlling; Arctos and others later added PE minority stakes.
GSW-2021-minority,GSW,Golden State Warriors,2021-04,minority_stake,Existing Warriors limited partners / ownership interests,Arctos Sports Partners,group,,GAP: cash undisclosed; Sportico reported ~5% at ~$5.5B franchise valuation (implied ~$275M not entered as confirmed cash),https://www.sportico.com/leagues/basketball/2021/warriors-arctos-1234626405/,NBA Warriors Sell Minority Stake to Arctos at $5.5 Billion Valuation (Sportico),HIGH,First PE investment after NBA loosened institutional rules. Arctos later increased stake (reported ~13% total in subsequent Sportico coverage) — additional tranches not separately dated here.
HOU-1967-expansion,HOU,San Diego Rockets,1967,expansion,NBA,Robert Breitbard,sole,1750000,Expansion fee often cited ~$1.75M,https://en.wikipedia.org/wiki/History_of_the_Houston_Rockets,History of the Houston Rockets (San Diego expansion 1967),HIGH,San Diego Rockets expansion franchise; relocated to Houston 1971.
HOU-1971-relocation,HOU,Houston Rockets,1971,relocation,,Houston ownership group,group,,GAP: San Diego→Houston purchase price not confirmed here,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,San Diego Rockets → Houston.
HOU-1971-sale,HOU,Houston Rockets,1971,sale,Robert Breitbard,Texas Sports Investments (Wayne Duddleston & Billy Goldberg),group,5600000,Often cited ~$5.6M sale + relocation to Houston,https://www.tshaonline.org/handbook/entries/houston-rockets,Houston Rockets | Texas State Historical Association Handbook,HIGH,Pairs with existing HOU-1971-relocation; ownership change enabled move.
HOU-1979-sale,HOU,Houston Rockets,1979,sale,Texas Sports Investments / prior Houston ownership,George Maloof / Maloof family,sole,9000000,Often cited ~$9M (Maloof purchase); verify vs contemporaneous UPI when refreshing,https://www.upi.com/Archives/1982/06/16/Car-dealer-Charlie-Thomas-said-his-purchase-of-the/8276393048000/,Car dealer Charlie Thomas said his purchase of the... (UPI 1982; Maloof era context),MEDIUM,Maloof family owned briefly; after George Maloof death (1980) sold to Charlie Thomas group 1982.
HOU-1982-sale,HOU,Houston Rockets,1982-06-16,sale,Maloof family,Charlie Thomas (with Sidney Shlenker interests reported),group,,GAP: contemporaneous press commonly cited ~$11–12M range (UPI/NYT June 1982) — no single confirmed filing amount entered,https://www.nytimes.com/1982/06/16/sports/nuggets-rockets-are-sold.html,"NUGGETS, ROCKETS ARE SOLD (NYT, Jun 16 1982)",MEDIUM,Thomas controlled until Alexander 1993 (~$85M).
HOU-1993-sale,HOU,Houston Rockets,1993,sale,Charlie Thomas-led ownership,Leslie Alexander,sole,85000000,Often cited ~$85M (Alexander from Thomas); LAT/Tribune 1993 coverage,https://www.espn.com/nba/story/_/id/20588603/tilman-fertitta-agrees-purchase-houston-rockets-record-price-22-billion,Tilman Fertitta agrees to buy Rockets (ESPN; context on Alexander era),HIGH,Alexander owned until Fertitta 2017. Prior: Maloof 1979 → Thomas 1982.
HOU-2017-sale,HOU,Houston Rockets,2017-10,sale,Leslie Alexander,Tilman Fertitta,sole,2200000000,Record ~$2.2B at time; included Toyota Center operating rights in package reporting,https://www.espn.com/nba/story/_/id/20588603/tilman-fertitta-agrees-purchase-houston-rockets-record-price-22-billion,Houston businessman Tilman Fertitta agrees to buy Rockets for record $2.2 billion,HIGH,Fertitta remains owner as of 2026-09-19.
IND-1967-other,IND,Indiana Pacers,1967,other,ABA,Indiana Professional Sports / local investor group,group,,GAP: ABA franchise award — not secondary-market sale,https://indyencyclopedia.org/indiana-pacers/,Indiana Pacers | Encyclopedia of Indianapolis,HIGH,ABA founding 1967; NBA entry 1976 already in ledger.
IND-1976-other,IND,Indiana Pacers,1976-06-17,other,ABA,Existing ABA ownership (NBA entry),unknown,3200000,ABA–NBA merger entry charge ~$3.2M,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Pacers entered NBA from ABA.
IND-1983-sale,IND,Indiana Pacers,1983,sale,Sam Nassi-led group,Herb and Mel Simon,group,11000000,Approx. $11M; kept franchise in Indiana,https://www.spotrac.com/nba/ownership,NBA Ownership | Spotrac,HIGH,Herb Simon remains majority; Steven Rales later significant minority (~20%).
IND-2023-minority,IND,Indiana Pacers,2023-12,minority_stake,Herbert Simon,Steven Rales,majority,,GAP: dollar amount for Rales stake increase not confirmed; reported to ~20%,https://www.si.com/nba/pacers/news/steven-rales-purchases-15-of-indiana-pacers-from-herbert-simon-now-owns-20-of-the-team-pending-nba-approval,Steven Rales purchases Pacers stake (SI),MEDIUM,Simon remains controlling majority (~80%).
