abbr,english_name,primary_hex,secondary_hex,accent_hex,quaternary_hex,source_url,source_type,confidence,access_date,notes
NYK,New York Knicks,#1D428A,#FFFFFF,#F58426,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
OKC,Oklahoma City Thunder,#007AC1,#FFFFFF,#EF3B24,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
ORL,Orlando Magic,#0050B5,#FFFFFF,#000000,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
PHI,Philadelphia 76ers,#1D428A,#FFFFFF,#C8102E,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
PHX,Phoenix Suns,#1D1160,#FFFFFF,#E56020,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
POR,Portland Trail Blazers,#000000,#FFFFFF,#E03A3E,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
SAC,Sacramento Kings,#000000,#FFFFFF,#5A2D81,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
SAS,San Antonio Spurs,#000000,#FFFFFF,#C4CED4,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
TOR,Toronto Raptors,#CE1141,#FFFFFF,#000000,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
UTA,Utah Jazz,#4E008E,#FFFFFF,#79A3DC,#000000,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
WAS,Washington Wizards,#002B5C,#FFFFFF,#E31837,#FFFFFF,https://en.wikipedia.org/wiki/Module:Sports_color/basketball,wikipedia_lua_module,MEDIUM,2026-09-20,Hexes from enwiki Module:Sports color/basketball (community-maintained; used for Wikipedia templates — NOT official NBA brand-guide publish). Order: module HEX1..HEX4 treated as primary/secondary/accent/quaternary. hoops teams.csv colours_* columns are empty (GAP 0/30).
