season,fga,fg_pct,fg3a,fg3_pct,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts
2009-10,85.2,0.461,18.0,0.350,26.9,0.769,12.5,30.3,42.8,22.5,9.0,5.4,14.4,21.6,100.4
2010-11,84.6,0.458,18.0,0.358,26.2,0.765,12.4,30.2,42.6,22.1,8.9,5.3,14.2,21.5,99.6
2011-12,83.6,0.449,18.4,0.349,25.7,0.754,12.1,29.9,42.0,21.3,8.7,5.2,14.0,21.2,96.3
2012-13,85.7,0.459,20.0,0.359,26.2,0.760,12.4,30.5,42.9,22.1,8.8,5.3,14.3,21.3,99.4
2013-14,85.6,0.460,20.0,0.360,26.2,0.764,12.3,30.5,42.8,22.3,8.9,5.3,14.3,21.1,99.7
2014-15,86.0,0.449,22.4,0.350,25.7,0.757,12.1,30.7,42.8,22.4,8.8,5.2,14.1,20.9,98.7
2015-16,86.3,0.451,24.1,0.354,25.4,0.760,12.0,30.9,42.9,22.6,8.8,5.2,14.0,20.6,99.3
2016-17,87.0,0.460,27.0,0.358,25.2,0.770,12.0,31.4,43.4,22.9,8.9,5.3,14.0,20.4,101.3
2017-18,87.3,0.461,29.0,0.362,24.4,0.773,11.7,31.8,43.5,23.2,8.9,5.2,13.9,20.2,102.7
2018-19,88.9,0.461,32.0,0.355,24.3,0.770,11.6,32.4,44.0,23.9,8.9,5.3,14.0,20.2,105.3
2019-20,88.6,0.462,34.1,0.359,23.0,0.772,11.3,33.0,44.3,24.0,8.9,5.4,13.8,19.8,106.3
2020-21,88.7,0.469,34.6,0.368,22.1,0.781,11.0,33.6,44.6,24.5,8.9,5.3,13.8,19.4,108.2
2021-22,88.4,0.466,35.2,0.354,21.9,0.780,10.9,33.4,44.3,24.3,8.8,5.2,13.7,19.3,107.3
2022-23,89.0,0.467,35.2,0.367,22.0,0.783,11.0,33.6,44.6,26.8,8.9,5.2,13.7,19.2,109.2
2023-24,88.9,0.470,35.1,0.367,21.7,0.788,10.6,33.0,43.6,26.7,9.0,5.3,13.5,19.0,110.6
